Symbol,Trade Date,Type,Quantity,Price (USD),Proceeds (USD),Commission (USD)
AEIS,2024-10-09,BUY,120,107.2600,-12871.20,-25.74
BA,2024-12-19,BUY,50,177.6100,-8880.50,-17.76
CFLT,2025-02-13,BUY,220,36.5100,-8032.20,-16.06
CFLT,2025-04-08,BUY,430,21.3500,-9180.50,-18.36
CYBR,2024-07-02,SELL,-60,270.0000,16200.00,-32.40
ESTC,2025-05-12,SELL,-100,89.6800,8968.00,-17.94
ESTC,2025-05-12,SELL,-8,89.6800,717.44,-9.95
ESTC,2025-05-12,SELL,-72,89.6800,6456.96,-4.40
ESTC,2025-05-12,SELL,-20,89.6800,1793.60,-3.59
FROG,2025-02-07,SELL,-150,37.1000,5565.00,-11.13
FRSH,2024-10-09,SELL,-980,11.1000,10878.00,-21.76
FRSH,2024-10-09,SELL,-880,11.1000,9768.00,-19.54
FRSH,2024-10-09,SELL,-100,11.1000,1110.00,-2.22
HOOD,2024-11-20,SELL,-550,37.5000,20625.00,-41.25
HUBS,2024-11-12,SELL,-45,695.0000,31275.00,-62.55
LRN,2024-10-16,BUY,102,67.0000,-6834.00,-13.67
LRN,2024-11-08,SELL,-200,102.0000,20400.00,-40.80
LRN,2024-11-08,SELL,-160,102.0000,16320.00,-32.64
LRN,2024-11-08,SELL,-40,102.0000,4080.00,-8.16
NET,2025-04-04,BUY,150,99.0000,-14850.00,-29.70
NET,2025-04-04,BUY,28,99.0000,-2772.00,-9.95
NET,2025-04-04,BUY,122,99.0000,-12078.00,-19.75
NET,2025-02-07,SELL,-113,157.0000,17741.00,-35.48
NET,2025-05-01,SELL,-100,124.0000,12400.00,-24.80
NET,2025-05-01,SELL,-40,124.0000,4960.00,-9.95
NET,2025-05-01,SELL,-12,124.0000,1488.00,-2.95
NET,2025-05-01,SELL,-48,124.0000,5952.00,-11.90
NVDA,2025-04-07,BUY,120,87.4600,-10495.20,-20.99
NVDA,2025-04-09,SELL,-120,107.0000,12840.00,-25.68
PAYO,2024-11-05,SELL,-800,10.0000,8000.00,-16.00
PAYO,2024-11-05,SELL,-348,10.0000,3480.00,-9.95
PAYO,2024-11-05,SELL,-452,10.0000,4520.00,-6.05
PD,2024-10-09,SELL,-150,18.0000,2700.00,-9.95
SNOW,2024-07-03,BUY,90,141.9000,-12771.00,-25.54
SPXU,2024-12-19,BUY,1000,22.4500,-22450.00,-44.90
SPXU,2024-12-19,BUY,190,22.4500,-4265.50,-9.95
SPXU,2024-12-19,BUY,810,22.4500,-18184.50,-34.95
SPXU,2025-05-01,BUY,500,22.6800,-11340.00,-22.68
SPXU,2025-05-14,BUY,500,19.7000,-9850.00,-19.70
SPXU,2025-04-04,SELL,-1000,31.3000,31300.00,-62.60
SPXU,2025-04-04,SELL,-700,31.3000,21910.00,-43.82
SPXU,2025-04-04,SELL,-10,31.3000,313.00,-0.63
SPXU,2025-04-04,SELL,-25,31.3000,782.50,-1.56
SPXU,2025-04-04,SELL,-265,31.3000,8294.50,-16.59
TAL,2024-09-30,SELL,-500,12.4300,6215.00,-12.43
TSM,2025-04-07,BUY,80,134.6400,-10771.20,-21.54
TSM,2025-04-09,SELL,-80,158.0000,12640.00,-25.28
TWLO,2024-12-12,SELL,-150,115.0000,17250.00,-34.50
AUD.USD,2024-07-26,BUY,758.14,0.65945,-499.96,0.00
AUD.USD,2024-09-25,BUY,19805.05,0.68234,-13513.78,0.00
AUD.USD,2024-09-26,BUY,0.88127112,0.69329416,-0.61,0.00
AUD.USD,2024-10-16,BUY,6.34576617,0.67030519,-4.25,0.00
AUD.USD,2024-12-25,BUY,105061.4,0.6279,-65968.05,0.00
AUD.USD,2024-12-26,BUY,0.0029627,0.62553863,0.00,0.00
AUD.USD,2024-12-26,BUY,3.33166748,0.62553863,-2.08,0.00
AUD.USD,2025-04-22,BUY,42322.97,0.64253,-27193.78,0.00
AUD.USD,2025-04-22,BUY,0.31545033,0.63999267,-0.20,0.00
AUD.USD,2024-07-26,SELL,-0.00409906,0.65945,0.00,0.00
AUD.USD,2024-09-25,SELL,-19805.05,0.68234,13513.78,0.00
