Symbol,Trade Date,Type,Quantity,Price (USD),Proceeds (USD),Commission (USD),Source_File
SQ,2023-09-18 10:39:42,BUY,100.0,51.7875,-5178.75,-10.36,50074435_20230907_20240628_parsed.csv
RSKD,2023-09-18 10:49:05,BUY,1500.0,4.41,-6615.0,-13.23,50074435_20230907_20240628_parsed.csv
SPLK,2023-09-21 09:57:52,BUY,70.0,144.63,-10124.1,-20.25,50074435_20230907_20240628_parsed.csv
S,2023-09-29 10:55:43,SELL,800.0,17.0,13600.0,-27.2,50074435_20230907_20240628_parsed.csv
HOOD,2023-12-11 09:30:00,BUY,600.0,11.55,-6930.0,-13.86,50074435_20230907_20240628_parsed.csv
CFLT,2024-01-03 14:21:16,BUY,350.0,21.91,-7668.5,-15.34,50074435_20230907_20240628_parsed.csv
NET,2024-02-09 09:31:00,SELL,200.0,112.0,22400.0,-44.8,50074435_20230907_20240628_parsed.csv
ESTC,2024-02-15 09:30:11,SELL,100.0,132.85,13285.0,-26.57,50074435_20230907_20240628_parsed.csv
SPLK,2024-02-16 09:30:00,SELL,220.0,155.4,34188.0,-68.38,50074435_20230907_20240628_parsed.csv
CP,2024-05-17 09:30:00,SELL,74.0,81.94,6063.56,-12.13,50074435_20230907_20240628_parsed.csv
HOOD,2024-06-06 11:33:58,SELL,550.0,23.0,12650.0,-25.3,50074435_20230907_20240628_parsed.csv
CSX,2024-06-17 09:33:20,SELL,180.0,32.2,5796.0,-11.59,50074435_20230907_20240628_parsed.csv
NVAX,2024-06-17 09:38:58,SELL,15.0,14.7,220.5,-9.95,50074435_20230907_20240628_parsed.csv
KWEB,2024-06-20 09:30:00,SELL,200.0,28.89,5778.0,-11.56,50074435_20230907_20240628_parsed.csv
ASAN,2024-06-21 09:37:09,SELL,100.0,12.1,1210.0,-9.95,50074435_20230907_20240628_parsed.csv
AMPL,2024-06-21 15:06:25,SELL,605.0,8.45,5112.25,-10.22,50074435_20230907_20240628_parsed.csv
BASE,2024-06-27 09:42:14,SELL,200.0,18.0,3600.0,-9.95,50074435_20230907_20240628_parsed.csv
EMLC,2024-06-28 09:30:00,SELL,300.0,23.8,7140.0,-14.28,50074435_20230907_20240628_parsed.csv
CYBR,2024-07-02 09:31:33,SELL,60.0,270.0,16200.0,-32.4,50074435_20240701_20250527_parsed.csv
SNOW,2024-07-03 09:30:02,BUY,90.0,141.9,-12771.0,-25.54,50074435_20240701_20250527_parsed.csv
TAL,2024-09-30 09:30:20,SELL,500.0,12.43,6215.0,-12.43,50074435_20240701_20250527_parsed.csv
PD,2024-10-09 09:36:52,SELL,150.0,18.0,2700.0,-9.95,50074435_20240701_20250527_parsed.csv
FRSH,2024-10-09 09:40:01,SELL,980.0,11.1,10878.0,-21.76,50074435_20240701_20250527_parsed.csv
AEIS,2024-10-09 14:49:15,BUY,120.0,107.26,-12871.2,-25.74,50074435_20240701_20250527_parsed.csv
LRN,2024-10-16 10:41:52,BUY,102.0,67.0,-6834.0,-13.67,50074435_20240701_20250527_parsed.csv
PAYO,2024-11-05 10:38:41,SELL,800.0,10.0,8000.0,-16.0,50074435_20240701_20250527_parsed.csv
LRN,2024-11-08 10:03:32,SELL,200.0,102.0,20400.0,-40.8,50074435_20240701_20250527_parsed.csv
HUBS,2024-11-12 12:35:38,SELL,45.0,695.0,31275.0,-62.55,50074435_20240701_20250527_parsed.csv
HOOD,2024-11-20 09:32:38,SELL,550.0,37.5,20625.0,-41.25,50074435_20240701_20250527_parsed.csv
TWLO,2024-12-12 11:39:17,SELL,150.0,115.0,17250.0,-34.5,50074435_20240701_20250527_parsed.csv
SPXU,2024-12-19 09:33:54,BUY,1000.0,22.45,-22450.0,-44.9,50074435_20240701_20250527_parsed.csv
BA,2024-12-19 15:28:14,BUY,50.0,177.61,-8880.5,-17.76,50074435_20240701_20250527_parsed.csv
FROG,2025-02-07 09:30:00,SELL,150.0,37.1,5565.0,-11.13,50074435_20240701_20250527_parsed.csv
NET,2025-02-07 09:30:45,SELL,113.0,157.0,17741.0,-35.48,50074435_20240701_20250527_parsed.csv
CFLT,2025-02-13 09:30:00,BUY,220.0,36.51,-8032.2,-16.06,50074435_20240701_20250527_parsed.csv
SPXU,2025-04-04 09:42:45,SELL,1000.0,31.3,31300.0,-62.6,50074435_20240701_20250527_parsed.csv
NET,2025-04-04 09:54:21,BUY,150.0,99.0,-14850.0,-29.7,50074435_20240701_20250527_parsed.csv
TSM,2025-04-07 09:30:01,BUY,80.0,134.64,-10771.2,-21.54,50074435_20240701_20250527_parsed.csv
NVDA,2025-04-07 09:30:02,BUY,120.0,87.46,-10495.2,-20.99,50074435_20240701_20250527_parsed.csv
CFLT,2025-04-08 09:30:00,BUY,430.0,21.35,-9180.5,-18.36,50074435_20240701_20250527_parsed.csv
NVDA,2025-04-09 13:24:08,SELL,120.0,107.0,12840.0,-25.68,50074435_20240701_20250527_parsed.csv
TSM,2025-04-09 14:24:30,SELL,80.0,158.0,12640.0,-25.28,50074435_20240701_20250527_parsed.csv
NET,2025-05-01 09:38:09,SELL,100.0,124.0,12400.0,-24.8,50074435_20240701_20250527_parsed.csv
SPXU,2025-05-01 10:21:39,BUY,500.0,22.68,-11340.0,-22.68,50074435_20240701_20250527_parsed.csv
ESTC,2025-05-12 09:38:36,SELL,100.0,89.68,8968.0,-17.94,50074435_20240701_20250527_parsed.csv
SPXU,2025-05-14 10:23:01,BUY,500.0,19.7,-9850.0,-19.7,50074435_20240701_20250527_parsed.csv
